labels,images
datasets\data\train\labels\201806291621_063.txt,datasets\data\train\images\201806291621_063.png
datasets\data\train\labels\201806260941_027.txt,datasets\data\train\images\201806260941_027.png
datasets\data\train\labels\201807071015_051.txt,datasets\data\train\images\201807071015_051.png
datasets\data\train\labels\201807071617_007.txt,datasets\data\train\images\201807071617_007.png
datasets\data\train\labels\201806261334_025.txt,datasets\data\train\images\201806261334_025.png
datasets\data\train\labels\201807081315_055.txt,datasets\data\train\images\201807081315_055.png
datasets\data\train\labels\201807041244_051.txt,datasets\data\train\images\201807041244_051.png
datasets\data\train\labels\201807041418_048.txt,datasets\data\train\images\201807041418_048.png
datasets\data\train\labels\201807031052_036.txt,datasets\data\train\images\201807031052_036.png
datasets\data\train\labels\201806261704_020.txt,datasets\data\train\images\201806261704_020.png
datasets\data\train\labels\201806271157_006.txt,datasets\data\train\images\201806271157_006.png
datasets\data\train\labels\201806261604_022.txt,datasets\data\train\images\201806261604_022.png
datasets\data\train\labels\201806291551_039.txt,datasets\data\train\images\201806291551_039.png
datasets\data\train\labels\201806301012_033.txt,datasets\data\train\images\201806301012_033.png
datasets\data\train\labels\201807031022_020.txt,datasets\data\train\images\201807031022_020.png
datasets\data\train\labels\201806301012_034.txt,datasets\data\train\images\201806301012_034.png
datasets\data\train\labels\201807081114_060.txt,datasets\data\train\images\201807081114_060.png
datasets\data\train\labels\201806260821_012.txt,datasets\data\train\images\201806260821_012.png
datasets\data\train\labels\201807061620_046.txt,datasets\data\train\images\201807061620_046.png
datasets\data\train\labels\201807051640_040.txt,datasets\data\train\images\201807051640_040.png
datasets\data\train\labels\201806301042_031.txt,datasets\data\train\images\201806301042_031.png
datasets\data\train\labels\201807071517_063.txt,datasets\data\train\images\201807071517_063.png
datasets\data\train\labels\201807021045_007.txt,datasets\data\train\images\201807021045_007.png
datasets\data\train\labels\201807071246_041.txt,datasets\data\train\images\201807071246_041.png
datasets\data\train\labels\201807051231_030.txt,datasets\data\train\images\201807051231_030.png
datasets\data\train\labels\201807071647_015.txt,datasets\data\train\images\201807071647_015.png
datasets\data\train\labels\201806281429_016.txt,datasets\data\train\images\201806281429_016.png
datasets\data\train\labels\201807081415_017.txt,datasets\data\train\images\201807081415_017.png
datasets\data\train\labels\201807041016_030.txt,datasets\data\train\images\201807041016_030.png
datasets\data\train\labels\201807061320_022.txt,datasets\data\train\images\201807061320_022.png
datasets\data\train\labels\201807011303_030.txt,datasets\data\train\images\201807011303_030.png
datasets\data\train\labels\201807031222_037.txt,datasets\data\train\images\201807031222_037.png
datasets\data\train\labels\201806271257_020.txt,datasets\data\train\images\201806271257_020.png
datasets\data\train\labels\201807051640_038.txt,datasets\data\train\images\201807051640_038.png
datasets\data\train\labels\201807011503_027.txt,datasets\data\train\images\201807011503_027.png
datasets\data\train\labels\201806301409_045.txt,datasets\data\train\images\201806301409_045.png
datasets\data\train\labels\201807051013_005.txt,datasets\data\train\images\201807051013_005.png
datasets\data\train\labels\201806291143_059.txt,datasets\data\train\images\201806291143_059.png
datasets\data\train\labels\201807041314_052.txt,datasets\data\train\images\201807041314_052.png
datasets\data\train\labels\201807041213_026.txt,datasets\data\train\images\201807041213_026.png
datasets\data\train\labels\201807031022_063.txt,datasets\data\train\images\201807031022_063.png
datasets\data\train\labels\201807011002_001.txt,datasets\data\train\images\201807011002_001.png
datasets\data\train\labels\201806301609_011.txt,datasets\data\train\images\201806301609_011.png
datasets\data\train\labels\201807041113_004.txt,datasets\data\train\images\201807041113_004.png
datasets\data\train\labels\201806271627_046.txt,datasets\data\train\images\201806271627_046.png
datasets\data\train\labels\201807051501_001.txt,datasets\data\train\images\201807051501_001.png
datasets\data\train\labels\201806301138_020.txt,datasets\data\train\images\201806301138_020.png
datasets\data\train\labels\201806291551_025.txt,datasets\data\train\images\201806291551_025.png
datasets\data\train\labels\201806301112_000.txt,datasets\data\train\images\201806301112_000.png
datasets\data\train\labels\201806281032_006.txt,datasets\data\train\images\201806281032_006.png
datasets\data\train\labels\201807061048_016.txt,datasets\data\train\images\201807061048_016.png
datasets\data\train\labels\201806281629_024.txt,datasets\data\train\images\201806281629_024.png
datasets\data\train\labels\201807011433_028.txt,datasets\data\train\images\201807011433_028.png
datasets\data\train\labels\201807081114_016.txt,datasets\data\train\images\201807081114_016.png
datasets\data\train\labels\201806281042_010.txt,datasets\data\train\images\201806281042_010.png
datasets\data\train\labels\201806301439_048.txt,datasets\data\train\images\201806301439_048.png
datasets\data\train\labels\201806261704_043.txt,datasets\data\train\images\201806261704_043.png
datasets\data\train\labels\201807011433_007.txt,datasets\data\train\images\201807011433_007.png
datasets\data\train\labels\201807061048_025.txt,datasets\data\train\images\201807061048_025.png
datasets\data\train\labels\201807081415_040.txt,datasets\data\train\images\201807081415_040.png
datasets\data\train\labels\201807051231_061.txt,datasets\data\train\images\201807051231_061.png
datasets\data\train\labels\201807041518_047.txt,datasets\data\train\images\201807041518_047.png
datasets\data\train\labels\201807061350_022.txt,datasets\data\train\images\201807061350_022.png
datasets\data\train\labels\201807071617_009.txt,datasets\data\train\images\201807071617_009.png
datasets\data\train\labels\201807081345_038.txt,datasets\data\train\images\201807081345_038.png
datasets\data\train\labels\201806281022_003.txt,datasets\data\train\images\201806281022_003.png
datasets\data\train\labels\201807041648_018.txt,datasets\data\train\images\201807041648_018.png
datasets\data\train\labels\201807031007_018.txt,datasets\data\train\images\201807031007_018.png
datasets\data\train\labels\201807051131_015.txt,datasets\data\train\images\201807051131_015.png
datasets\data\train\labels\201807011102_057.txt,datasets\data\train\images\201807011102_057.png
datasets\data\train\labels\201807041314_009.txt,datasets\data\train\images\201807041314_009.png
datasets\data\train\labels\201806271728_014.txt,datasets\data\train\images\201806271728_014.png
datasets\data\train\labels\201807011533_010.txt,datasets\data\train\images\201807011533_010.png
datasets\data\train\labels\201806281113_011.txt,datasets\data\train\images\201806281113_011.png
datasets\data\train\labels\201807061148_003.txt,datasets\data\train\images\201807061148_003.png
datasets\data\train\labels\201806261604_011.txt,datasets\data\train\images\201806261604_011.png
datasets\data\train\labels\201806261434_006.txt,datasets\data\train\images\201806261434_006.png
datasets\data\train\labels\201806301439_000.txt,datasets\data\train\images\201806301439_000.png
datasets\data\train\labels\201807071115_035.txt,datasets\data\train\images\201807071115_035.png
datasets\data\train\labels\201807071015_017.txt,datasets\data\train\images\201807071015_017.png
datasets\data\train\labels\201806260901_009.txt,datasets\data\train\images\201806260901_009.png
datasets\data\train\labels\201807081415_051.txt,datasets\data\train\images\201807081415_051.png
datasets\data\train\labels\201807041448_016.txt,datasets\data\train\images\201807041448_016.png
datasets\data\train\labels\201806291621_059.txt,datasets\data\train\images\201806291621_059.png
datasets\data\train\labels\201807060954_005.txt,datasets\data\train\images\201807060954_005.png
datasets\data\train\labels\201807011603_033.txt,datasets\data\train\images\201807011603_033.png
datasets\data\train\labels\201806301138_031.txt,datasets\data\train\images\201806301138_031.png
datasets\data\train\labels\201806260821_003.txt,datasets\data\train\images\201806260821_003.png
datasets\data\train\labels\201806271427_001.txt,datasets\data\train\images\201806271427_001.png
datasets\data\train\labels\201807061620_038.txt,datasets\data\train\images\201807061620_038.png
datasets\data\train\labels\201806271026_006.txt,datasets\data\train\images\201806271026_006.png
datasets\data\train\labels\201806291143_015.txt,datasets\data\train\images\201806291143_015.png
datasets\data\train\labels\201807071617_006.txt,datasets\data\train\images\201807071617_006.png
datasets\data\train\labels\201807051013_030.txt,datasets\data\train\images\201807051013_030.png
datasets\data\train\labels\201806261704_016.txt,datasets\data\train\images\201806261704_016.png
datasets\data\train\labels\201806281429_009.txt,datasets\data\train\images\201806281429_009.png
datasets\data\train\labels\201807081144_000.txt,datasets\data\train\images\201807081144_000.png
datasets\data\train\labels\201807061620_047.txt,datasets\data\train\images\201807061620_047.png
datasets\data\train\labels\201807051013_032.txt,datasets\data\train\images\201807051013_032.png
datasets\data\train\labels\201806281559_045.txt,datasets\data\train\images\201806281559_045.png
datasets\data\train\labels\201807011633_007.txt,datasets\data\train\images\201807011633_007.png
datasets\data\train\labels\201806281153_004.txt,datasets\data\train\images\201806281153_004.png
datasets\data\train\labels\201807061550_008.txt,datasets\data\train\images\201807061550_008.png
datasets\data\train\labels\201806271728_015.txt,datasets\data\train\images\201806271728_015.png
datasets\data\train\labels\201807041618_008.txt,datasets\data\train\images\201807041618_008.png
datasets\data\train\labels\201806291143_029.txt,datasets\data\train\images\201806291143_029.png
datasets\data\train\labels\201807021447_002.txt,datasets\data\train\images\201807021447_002.png
datasets\data\train\labels\201806271728_008.txt,datasets\data\train\images\201806271728_008.png
datasets\data\train\labels\201806291243_024.txt,datasets\data\train\images\201806291243_024.png
datasets\data\train\labels\201807071347_036.txt,datasets\data\train\images\201807071347_036.png
datasets\data\train\labels\201806301709_050.txt,datasets\data\train\images\201806301709_050.png
datasets\data\train\labels\201806301112_041.txt,datasets\data\train\images\201806301112_041.png
datasets\data\train\labels\201807011032_011.txt,datasets\data\train\images\201807011032_011.png
datasets\data\train\labels\201807061320_032.txt,datasets\data\train\images\201807061320_032.png
datasets\data\train\labels\201806281113_017.txt,datasets\data\train\images\201806281113_017.png
datasets\data\train\labels\201806291143_018.txt,datasets\data\train\images\201806291143_018.png
datasets\data\train\labels\201806291320_036.txt,datasets\data\train\images\201806291320_036.png
datasets\data\train\labels\201807021347_004.txt,datasets\data\train\images\201807021347_004.png
datasets\data\train\labels\201806301208_050.txt,datasets\data\train\images\201806301208_050.png
datasets\data\train\labels\201807061219_029.txt,datasets\data\train\images\201807061219_029.png
datasets\data\train\labels\201807041043_047.txt,datasets\data\train\images\201807041043_047.png
datasets\data\train\labels\201806291350_034.txt,datasets\data\train\images\201806291350_034.png
datasets\data\train\labels\201807081345_041.txt,datasets\data\train\images\201807081345_041.png
datasets\data\train\labels\201806291022_001.txt,datasets\data\train\images\201806291022_001.png
datasets\data\train\labels\201806301238_015.txt,datasets\data\train\images\201806301238_015.png
datasets\data\train\labels\201807061148_051.txt,datasets\data\train\images\201807061148_051.png
datasets\data\train\labels\201806301012_051.txt,datasets\data\train\images\201806301012_051.png
datasets\data\train\labels\201807061620_057.txt,datasets\data\train\images\201807061620_057.png
datasets\data\train\labels\201807071115_053.txt,datasets\data\train\images\201807071115_053.png
datasets\data\train\labels\201806301208_057.txt,datasets\data\train\images\201806301208_057.png
datasets\data\train\labels\201807051100_027.txt,datasets\data\train\images\201807051100_027.png
datasets\data\train\labels\201807071316_029.txt,datasets\data\train\images\201807071316_029.png
datasets\data\train\labels\201806260931_002.txt,datasets\data\train\images\201806260931_002.png
datasets\data\train\labels\201807071417_019.txt,datasets\data\train\images\201807071417_019.png
datasets\data\train\labels\201807041043_021.txt,datasets\data\train\images\201807041043_021.png
datasets\data\train\labels\201807041548_008.txt,datasets\data\train\images\201807041548_008.png
datasets\data\train\labels\201807071417_013.txt,datasets\data\train\images\201807071417_013.png
datasets\data\train\labels\201807011403_011.txt,datasets\data\train\images\201807011403_011.png
datasets\data\train\labels\201806301709_014.txt,datasets\data\train\images\201806301709_014.png
datasets\data\train\labels\201806271126_040.txt,datasets\data\train\images\201806271126_040.png
datasets\data\train\labels\201806291521_045.txt,datasets\data\train\images\201806291521_045.png
datasets\data\train\labels\201806281153_008.txt,datasets\data\train\images\201806281153_008.png
datasets\data\train\labels\201806301208_024.txt,datasets\data\train\images\201806301208_024.png
datasets\data\train\labels\201807071417_030.txt,datasets\data\train\images\201807071417_030.png
datasets\data\train\labels\201806271427_034.txt,datasets\data\train\images\201806271427_034.png
datasets\data\train\labels\201806291651_031.txt,datasets\data\train\images\201806291651_031.png
datasets\data\train\labels\201807041618_003.txt,datasets\data\train\images\201807041618_003.png
datasets\data\train\labels\201807041518_063.txt,datasets\data\train\images\201807041518_063.png
datasets\data\train\labels\201806301308_049.txt,datasets\data\train\images\201806301308_049.png
datasets\data\train\labels\201807041548_012.txt,datasets\data\train\images\201807041548_012.png
datasets\data\train\labels\201806271327_029.txt,datasets\data\train\images\201806271327_029.png
datasets\data\train\labels\201807041618_037.txt,datasets\data\train\images\201807041618_037.png
datasets\data\train\labels\201806301439_035.txt,datasets\data\train\images\201806301439_035.png
datasets\data\train\labels\201806271728_016.txt,datasets\data\train\images\201806271728_016.png
datasets\data\train\labels\201806301409_011.txt,datasets\data\train\images\201806301409_011.png
datasets\data\train\labels\201807061520_026.txt,datasets\data\train\images\201807061520_026.png
datasets\data\train\labels\201807021246_055.txt,datasets\data\train\images\201807021246_055.png
datasets\data\train\labels\201806271157_016.txt,datasets\data\train\images\201806271157_016.png
datasets\data\train\labels\201807041143_020.txt,datasets\data\train\images\201807041143_020.png
datasets\data\train\labels\201807081315_002.txt,datasets\data\train\images\201807081315_002.png
datasets\data\train\labels\201807041548_043.txt,datasets\data\train\images\201807041548_043.png
datasets\data\train\labels\201806301138_055.txt,datasets\data\train\images\201806301138_055.png
datasets\data\train\labels\201806291451_008.txt,datasets\data\train\images\201806291451_008.png
datasets\data\train\labels\201807021347_018.txt,datasets\data\train\images\201807021347_018.png
datasets\data\train\labels\201807051431_011.txt,datasets\data\train\images\201807051431_011.png
datasets\data\train\labels\201806261534_066.txt,datasets\data\train\images\201806261534_066.png
datasets\data\train\labels\201807071316_038.txt,datasets\data\train\images\201807071316_038.png
datasets\data\train\labels\201807021246_012.txt,datasets\data\train\images\201807021246_012.png
datasets\data\train\labels\201807011202_053.txt,datasets\data\train\images\201807011202_053.png
datasets\data\train\labels\201807081415_052.txt,datasets\data\train\images\201807081415_052.png
datasets\data\train\labels\201807081244_050.txt,datasets\data\train\images\201807081244_050.png
datasets\data\train\labels\201806281659_029.txt,datasets\data\train\images\201806281659_029.png
datasets\data\train\labels\201806291521_066.txt,datasets\data\train\images\201806291521_066.png
datasets\data\train\labels\201807031022_053.txt,datasets\data\train\images\201807031022_053.png
datasets\data\train\labels\201806271557_034.txt,datasets\data\train\images\201806271557_034.png
datasets\data\train\labels\201807011603_041.txt,datasets\data\train\images\201807011603_041.png
datasets\data\train\labels\201807041618_018.txt,datasets\data\train\images\201807041618_018.png
datasets\data\train\labels\201806261434_029.txt,datasets\data\train\images\201806261434_029.png
datasets\data\train\labels\201807051640_030.txt,datasets\data\train\images\201807051640_030.png
datasets\data\train\labels\201807041016_029.txt,datasets\data\train\images\201807041016_029.png
datasets\data\train\labels\201807051201_037.txt,datasets\data\train\images\201807051201_037.png
datasets\data\train\labels\201807081515_019.txt,datasets\data\train\images\201807081515_019.png
datasets\data\train\labels\201807041244_023.txt,datasets\data\train\images\201807041244_023.png
datasets\data\train\labels\201807051013_017.txt,datasets\data\train\images\201807051013_017.png
datasets\data\train\labels\201806291551_035.txt,datasets\data\train\images\201806291551_035.png
datasets\data\train\labels\201806281559_044.txt,datasets\data\train\images\201806281559_044.png
datasets\data\train\labels\201806301308_020.txt,datasets\data\train\images\201806301308_020.png
datasets\data\train\labels\201807061550_009.txt,datasets\data\train\images\201807061550_009.png
datasets\data\train\labels\201806271527_048.txt,datasets\data\train\images\201806271527_048.png
datasets\data\train\labels\201806281022_011.txt,datasets\data\train\images\201806281022_011.png
datasets\data\train\labels\201806291243_006.txt,datasets\data\train\images\201806291243_006.png
datasets\data\train\labels\201807011533_039.txt,datasets\data\train\images\201807011533_039.png
datasets\data\train\labels\201807021316_011.txt,datasets\data\train\images\201807021316_011.png
datasets\data\train\labels\201807031122_034.txt,datasets\data\train\images\201807031122_034.png
datasets\data\train\labels\201807051640_039.txt,datasets\data\train\images\201807051640_039.png
datasets\data\train\labels\201807011333_033.txt,datasets\data\train\images\201807011333_033.png
datasets\data\train\labels\201806271327_035.txt,datasets\data\train\images\201806271327_035.png
datasets\data\train\labels\201806281659_038.txt,datasets\data\train\images\201806281659_038.png
datasets\data\train\labels\201807051231_000.txt,datasets\data\train\images\201807051231_000.png
datasets\data\train\labels\201807081315_028.txt,datasets\data\train\images\201807081315_028.png
datasets\data\train\labels\201807061320_044.txt,datasets\data\train\images\201807061320_044.png
datasets\data\train\labels\201806281143_003.txt,datasets\data\train\images\201806281143_003.png
datasets\data\train\labels\201807081545_034.txt,datasets\data\train\images\201807081545_034.png
datasets\data\train\labels\201806271527_057.txt,datasets\data\train\images\201806271527_057.png
datasets\data\train\labels\201806301609_000.txt,datasets\data\train\images\201806301609_000.png
datasets\data\train\labels\201806271657_047.txt,datasets\data\train\images\201806271657_047.png
datasets\data\train\labels\201807071417_010.txt,datasets\data\train\images\201807071417_010.png
datasets\data\train\labels\201806261604_029.txt,datasets\data\train\images\201806261604_029.png
datasets\data\train\labels\201807021216_040.txt,datasets\data\train\images\201807021216_040.png
datasets\data\train\labels\201807041418_041.txt,datasets\data\train\images\201807041418_041.png
datasets\data\train\labels\201807011303_020.txt,datasets\data\train\images\201807011303_020.png
datasets\data\train\labels\201807071015_027.txt,datasets\data\train\images\201807071015_027.png
datasets\data\train\labels\201806261704_030.txt,datasets\data\train\images\201806261704_030.png
datasets\data\train\labels\201806301112_003.txt,datasets\data\train\images\201806301112_003.png
datasets\data\train\labels\201807041618_056.txt,datasets\data\train\images\201807041618_056.png
datasets\data\train\labels\201806271557_006.txt,datasets\data\train\images\201806271557_006.png
datasets\data\train\labels\201806261704_007.txt,datasets\data\train\images\201806261704_007.png
datasets\data\train\labels\201806271126_004.txt,datasets\data\train\images\201806271126_004.png
datasets\data\train\labels\201807061219_026.txt,datasets\data\train\images\201807061219_026.png
datasets\data\train\labels\201806271056_055.txt,datasets\data\train\images\201806271056_055.png
datasets\data\train\labels\201807071417_020.txt,datasets\data\train\images\201807071417_020.png
datasets\data\train\labels\201807081515_074.txt,datasets\data\train\images\201807081515_074.png
datasets\data\train\labels\201807021316_003.txt,datasets\data\train\images\201807021316_003.png
datasets\data\train\labels\201807071246_020.txt,datasets\data\train\images\201807071246_020.png
datasets\data\train\labels\201807021517_007.txt,datasets\data\train\images\201807021517_007.png
datasets\data\train\labels\201806291521_049.txt,datasets\data\train\images\201806291521_049.png
datasets\data\train\labels\201806281133_009.txt,datasets\data\train\images\201806281133_009.png
datasets\data\train\labels\201807061720_015.txt,datasets\data\train\images\201807061720_015.png
datasets\data\train\labels\201806291551_017.txt,datasets\data\train\images\201806291551_017.png
datasets\data\train\labels\201807051301_007.txt,datasets\data\train\images\201807051301_007.png
datasets\data\train\labels\201807081114_054.txt,datasets\data\train\images\201807081114_054.png
datasets\data\train\labels\201807011333_014.txt,datasets\data\train\images\201807011333_014.png
datasets\data\train\labels\201806301012_031.txt,datasets\data\train\images\201806301012_031.png
datasets\data\train\labels\201807021045_016.txt,datasets\data\train\images\201807021045_016.png
datasets\data\train\labels\201807011503_005.txt,datasets\data\train\images\201807011503_005.png
datasets\data\train\labels\201807051131_031.txt,datasets\data\train\images\201807051131_031.png
datasets\data\train\labels\201807061148_018.txt,datasets\data\train\images\201807061148_018.png
datasets\data\train\labels\201807011633_000.txt,datasets\data\train\images\201807011633_000.png
datasets\data\train\labels\201807051501_037.txt,datasets\data\train\images\201807051501_037.png
datasets\data\train\labels\201806281002_000.txt,datasets\data\train\images\201806281002_000.png
datasets\data\train\labels\201806301012_024.txt,datasets\data\train\images\201806301012_024.png
datasets\data\train\labels\201807071347_046.txt,datasets\data\train\images\201807071347_046.png
datasets\data\train\labels\201807071547_026.txt,datasets\data\train\images\201807071547_026.png
datasets\data\train\labels\201807011202_004.txt,datasets\data\train\images\201807011202_004.png
datasets\data\train\labels\201807021517_004.txt,datasets\data\train\images\201807021517_004.png
datasets\data\train\labels\201806281113_004.txt,datasets\data\train\images\201806281113_004.png
datasets\data\train\labels\201807061249_018.txt,datasets\data\train\images\201807061249_018.png
datasets\data\train\labels\201807021417_027.txt,datasets\data\train\images\201807021417_027.png
datasets\data\train\labels\201807040951_003.txt,datasets\data\train\images\201807040951_003.png
datasets\data\train\labels\201807071145_054.txt,datasets\data\train\images\201807071145_054.png
datasets\data\train\labels\201807051013_003.txt,datasets\data\train\images\201807051013_003.png
datasets\data\train\labels\201806291451_018.txt,datasets\data\train\images\201806291451_018.png
datasets\data\train\labels\201806291243_060.txt,datasets\data\train\images\201806291243_060.png
datasets\data\train\labels\201807051013_014.txt,datasets\data\train\images\201807051013_014.png
datasets\data\train\labels\201807041618_000.txt,datasets\data\train\images\201807041618_000.png
datasets\data\train\labels\201807041618_073.txt,datasets\data\train\images\201807041618_073.png
datasets\data\train\labels\201807071647_032.txt,datasets\data\train\images\201807071647_032.png
datasets\data\train\labels\201806301138_002.txt,datasets\data\train\images\201806301138_002.png
datasets\data\train\labels\201806291350_059.txt,datasets\data\train\images\201806291350_059.png
datasets\data\train\labels\201806291350_046.txt,datasets\data\train\images\201806291350_046.png
datasets\data\train\labels\201807051710_017.txt,datasets\data\train\images\201807051710_017.png
datasets\data\train\labels\201807081044_006.txt,datasets\data\train\images\201807081044_006.png
datasets\data\train\labels\201806281153_006.txt,datasets\data\train\images\201806281153_006.png
datasets\data\train\labels\201807061450_012.txt,datasets\data\train\images\201807061450_012.png
datasets\data\train\labels\201807031052_042.txt,datasets\data\train\images\201807031052_042.png
datasets\data\train\labels\201807011433_018.txt,datasets\data\train\images\201807011433_018.png
datasets\data\train\labels\201806291621_011.txt,datasets\data\train\images\201806291621_011.png
datasets\data\train\labels\201806301539_032.txt,datasets\data\train\images\201806301539_032.png
datasets\data\train\labels\201806261604_053.txt,datasets\data\train\images\201806261604_053.png
datasets\data\train\labels\201807081315_024.txt,datasets\data\train\images\201807081315_024.png
datasets\data\train\labels\201806281559_031.txt,datasets\data\train\images\201806281559_031.png
datasets\data\train\labels\201806301238_048.txt,datasets\data\train\images\201806301238_048.png
datasets\data\train\labels\201807051640_042.txt,datasets\data\train\images\201807051640_042.png
datasets\data\train\labels\201806291243_056.txt,datasets\data\train\images\201806291243_056.png
datasets\data\train\labels\201807031022_033.txt,datasets\data\train\images\201807031022_033.png
datasets\data\train\labels\201806301709_046.txt,datasets\data\train\images\201806301709_046.png
datasets\data\train\labels\201807041448_038.txt,datasets\data\train\images\201807041448_038.png
datasets\data\train\labels\201807071347_006.txt,datasets\data\train\images\201807071347_006.png
datasets\data\train\labels\201807071246_003.txt,datasets\data\train\images\201807071246_003.png
datasets\data\train\labels\201807021116_009.txt,datasets\data\train\images\201807021116_009.png
datasets\data\train\labels\201807041143_011.txt,datasets\data\train\images\201807041143_011.png
datasets\data\train\labels\201807011002_014.txt,datasets\data\train\images\201807011002_014.png
datasets\data\train\labels\201806261534_077.txt,datasets\data\train\images\201806261534_077.png
datasets\data\train\labels\201807011102_013.txt,datasets\data\train\images\201807011102_013.png
datasets\data\train\labels\201806301138_021.txt,datasets\data\train\images\201806301138_021.png
datasets\data\train\labels\201806291651_052.txt,datasets\data\train\images\201806291651_052.png
datasets\data\train\labels\201807061219_023.txt,datasets\data\train\images\201807061219_023.png
datasets\data\train\labels\201807071246_027.txt,datasets\data\train\images\201807071246_027.png
datasets\data\train\labels\201807071215_036.txt,datasets\data\train\images\201807071215_036.png
datasets\data\train\labels\201806301409_031.txt,datasets\data\train\images\201806301409_031.png
datasets\data\train\labels\201806291320_041.txt,datasets\data\train\images\201806291320_041.png
datasets\data\train\labels\201807051710_001.txt,datasets\data\train\images\201807051710_001.png
datasets\data\train\labels\201807021012_000.txt,datasets\data\train\images\201807021012_000.png
datasets\data\train\labels\201807031022_010.txt,datasets\data\train\images\201807031022_010.png
datasets\data\train\labels\201806271728_004.txt,datasets\data\train\images\201806271728_004.png
datasets\data\train\labels\201806301112_061.txt,datasets\data\train\images\201806301112_061.png
datasets\data\train\labels\201807011703_046.txt,datasets\data\train\images\201807011703_046.png
datasets\data\train\labels\201807051231_051.txt,datasets\data\train\images\201807051231_051.png
datasets\data\train\labels\201807071347_052.txt,datasets\data\train\images\201807071347_052.png
datasets\data\train\labels\201807011232_002.txt,datasets\data\train\images\201807011232_002.png
datasets\data\train\labels\201807071717_027.txt,datasets\data\train\images\201807071717_027.png
datasets\data\train\labels\201806301439_049.txt,datasets\data\train\images\201806301439_049.png
datasets\data\train\labels\201807061650_020.txt,datasets\data\train\images\201807061650_020.png
datasets\data\train\labels\201807061249_010.txt,datasets\data\train\images\201807061249_010.png
datasets\data\train\labels\201807081044_050.txt,datasets\data\train\images\201807081044_050.png
datasets\data\train\labels\201807041448_037.txt,datasets\data\train\images\201807041448_037.png
datasets\data\train\labels\201806301539_069.txt,datasets\data\train\images\201806301539_069.png
datasets\data\train\labels\201807051401_050.txt,datasets\data\train\images\201807051401_050.png
datasets\data\train\labels\201806301138_037.txt,datasets\data\train\images\201806301138_037.png
datasets\data\train\labels\201806291127_001.txt,datasets\data\train\images\201806291127_001.png
datasets\data\train\labels\201806291143_060.txt,datasets\data\train\images\201806291143_060.png
datasets\data\train\labels\201807081114_031.txt,datasets\data\train\images\201807081114_031.png
datasets\data\train\labels\201807021045_019.txt,datasets\data\train\images\201807021045_019.png
datasets\data\train\labels\201806261634_007.txt,datasets\data\train\images\201806261634_007.png
datasets\data\train\labels\201806271427_037.txt,datasets\data\train\images\201806271427_037.png
datasets\data\train\labels\201806291451_001.txt,datasets\data\train\images\201806291451_001.png
datasets\data\train\labels\201806271026_052.txt,datasets\data\train\images\201806271026_052.png
datasets\data\train\labels\201807061148_048.txt,datasets\data\train\images\201807061148_048.png
datasets\data\train\labels\201807051231_008.txt,datasets\data\train\images\201807051231_008.png
datasets\data\train\labels\201806271157_004.txt,datasets\data\train\images\201806271157_004.png
datasets\data\train\labels\201806271357_048.txt,datasets\data\train\images\201806271357_048.png
datasets\data\train\labels\201807061550_037.txt,datasets\data\train\images\201807061550_037.png
datasets\data\train\labels\201806291651_053.txt,datasets\data\train\images\201806291651_053.png
datasets\data\train\labels\201806301012_016.txt,datasets\data\train\images\201806301012_016.png
datasets\data\train\labels\201807031052_024.txt,datasets\data\train\images\201807031052_024.png
datasets\data\train\labels\201806261704_024.txt,datasets\data\train\images\201806261704_024.png
datasets\data\train\labels\201806291127_000.txt,datasets\data\train\images\201806291127_000.png
datasets\data\train\labels\201807051431_045.txt,datasets\data\train\images\201807051431_045.png
datasets\data\train\labels\201806291320_017.txt,datasets\data\train\images\201806291320_017.png
datasets\data\train\labels\201806291243_003.txt,datasets\data\train\images\201806291243_003.png
datasets\data\train\labels\201807071015_005.txt,datasets\data\train\images\201807071015_005.png
datasets\data\train\labels\201806261634_072.txt,datasets\data\train\images\201806261634_072.png
datasets\data\train\labels\201807011433_041.txt,datasets\data\train\images\201807011433_041.png
datasets\data\train\labels\201806281200_005.txt,datasets\data\train\images\201806281200_005.png
datasets\data\train\labels\201806281002_010.txt,datasets\data\train\images\201806281002_010.png
datasets\data\train\labels\201807071647_010.txt,datasets\data\train\images\201807071647_010.png
datasets\data\train\labels\201806301238_041.txt,datasets\data\train\images\201806301238_041.png
datasets\data\train\labels\201806261704_073.txt,datasets\data\train\images\201806261704_073.png
datasets\data\train\labels\201806301208_052.txt,datasets\data\train\images\201806301208_052.png
datasets\data\train\labels\201806260841_010.txt,datasets\data\train\images\201806260841_010.png
datasets\data\train\labels\201806291320_009.txt,datasets\data\train\images\201806291320_009.png
datasets\data\train\labels\201807081214_070.txt,datasets\data\train\images\201807081214_070.png
datasets\data\train\labels\201807061550_020.txt,datasets\data\train\images\201807061550_020.png
datasets\data\train\labels\201806271557_051.txt,datasets\data\train\images\201806271557_051.png
datasets\data\train\labels\201806301409_022.txt,datasets\data\train\images\201806301409_022.png
datasets\data\train\labels\201807071517_011.txt,datasets\data\train\images\201807071517_011.png
datasets\data\train\labels\201807011202_036.txt,datasets\data\train\images\201807011202_036.png
datasets\data\train\labels\201807041518_059.txt,datasets\data\train\images\201807041518_059.png
datasets\data\train\labels\201807021116_022.txt,datasets\data\train\images\201807021116_022.png
